	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d	D:\visual3d_file\Theia data practical\sidestep\files\pp14 sidestep 003 pose_filt_0.c3d
	NORMALIZED_WBAM	NORMALIZED_WBAM	NORMALIZED_WBAM	Normalized_LAR	Normalized_LAR	Normalized_LAR	Normalized_LFA	Normalized_LFA	Normalized_LFA	Normalized_LFT	Normalized_LFT	Normalized_LFT	Normalized_LHA	Normalized_LHA	Normalized_LHA	Normalized_LSK	Normalized_LSK	Normalized_LSK	Normalized_LTH	Normalized_LTH	Normalized_LTH	Normalized_LTO	Normalized_LTO	Normalized_LTO	Normalized_RAR	Normalized_RAR	Normalized_RAR	Normalized_RFA	Normalized_RFA	Normalized_RFA	Normalized_RFT	Normalized_RFT	Normalized_RFT	Normalized_RHA	Normalized_RHA	Normalized_RHA	Normalized_RHE	Normalized_RHE	Normalized_RHE	Normalized_RPV	Normalized_RPV	Normalized_RPV	Normalized_RSK	Normalized_RSK	Normalized_RSK	Normalized_RTH	Normalized_RTH	Normalized_RTH	Normalized_RTO	Normalized_RTO	Normalized_RTO	Normalized_RTX	Normalized_RTX	Normalized_RTX
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC	Normalized_MC
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																						
2																																																						
3	0.00071	-0.00078	0.00031	0.00004	0.00034	0.00026	0.00003	0.00004	0.00015	-0.00000	-0.00014	0.00002	-0.00000	-0.00000	0.00001	0.00008	0.00000	-0.00003	0.00012	0.00016	-0.00019	0.00000	-0.00001	0.00000	-0.00002	-0.00000	-0.00002	0.00001	0.00001	-0.00004	0.00001	-0.00003	-0.00001	0.00000	-0.00001	-0.00001	0.00014	-0.00131	-0.00002	0.00000	0.00011	-0.00002	0.00006	0.00031	0.00011	0.00011	0.00033	0.00016	0.00000	-0.00000	-0.00000	0.00013	-0.00059	-0.00005
4	0.00067	-0.00013	-0.00009	0.00002	0.00013	0.00010	0.00001	0.00002	0.00008	0.00002	-0.00003	0.00000	0.00000	0.00000	-0.00000	0.00014	0.00020	-0.00004	0.00018	0.00027	-0.00012	0.00000	-0.00000	0.00000	0.00006	0.00014	-0.00010	0.00001	0.00001	-0.00003	0.00002	-0.00005	-0.00001	0.00001	-0.00001	-0.00002	-0.00002	-0.00028	-0.00000	0.00001	0.00007	-0.00005	0.00006	0.00007	0.00006	0.00001	0.00009	0.00009	0.00000	-0.00000	-0.00000	0.00016	-0.00077	-0.00004
5	0.00011	0.00139	0.00004	0.00004	-0.00007	-0.00006	0.00001	-0.00000	-0.00001	0.00002	-0.00006	0.00001	0.00001	-0.00000	-0.00000	0.00004	0.00015	-0.00002	0.00002	0.00025	0.00001	-0.00000	-0.00000	0.00000	0.00002	0.00006	-0.00002	-0.00002	-0.00000	0.00002	0.00004	0.00001	0.00000	0.00000	-0.00000	-0.00001	-0.00016	0.00070	0.00001	-0.00001	-0.00002	0.00001	0.00002	0.00012	0.00004	-0.00005	0.00011	0.00012	-0.00000	0.00000	0.00000	0.00013	0.00016	-0.00006
6	0.00002	0.00194	0.00009	0.00007	-0.00008	-0.00004	0.00002	-0.00001	-0.00002	0.00000	0.00000	0.00000	0.00002	-0.00000	-0.00000	0.00001	0.00031	-0.00005	-0.00005	0.00026	0.00004	-0.00000	-0.00000	0.00000	0.00000	0.00011	-0.00008	0.00001	0.00001	-0.00007	0.00001	-0.00003	-0.00001	0.00001	0.00000	-0.00001	0.00007	-0.00009	-0.00000	-0.00004	0.00001	0.00009	-0.00006	0.00032	0.00004	-0.00009	0.00042	0.00010	-0.00000	-0.00000	-0.00000	0.00003	0.00071	0.00009
